Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
691,Esteury Ruiz,23,TOT,36,.175,20,.214,.086,0.0%,19.4%,2.8%,71.1,10.7%,17.9%,46.4%,21.4%,0.93,28.6%,42.9%,28.6%,-0.6,-0.4%,-4.7,43%,33%,,ruizes01
692,Esteury Ruiz,23,SDP,27,.207,50,.273,.111,0.0%,18.5%,0.0%,68.3,9.1%,13.6%,45.5%,22.7%,0.91,36.4%,40.9%,22.7%,-0.4,-0.2%,-3.0,17%,33%,,ruizes01
693,Esteury Ruiz,23,MIL,9,.077,-70,.000,.000,0.0%,22.2%,11.1%,81.4,16.7%,33.3%,50.0%,16.7%,1.00,0.0%,50.0%,50.0%,-0.2,-0.1%,-1.7,200%,,,ruizes01
694,Keibert Ruiz,23,WSN,433,.303,95,.271,.109,1.6%,11.6%,6.9%,87.8,32.7%,28.2%,40.3%,25.1%,0.68,40.6%,45.8%,13.5%,-2.5,-0.4%,-14.9,20%,86%,29%,ruizke01
695,Adley Rutschman,24,BAL,470,.361,131,.291,.191,2.8%,18.3%,13.8%,87.9,36.8%,25.1%,40.0%,26.7%,0.67,31.4%,54.9%,13.7%,1.9,0.9%,14.6,36%,100%,52%,rutscad01
696,Gary Sanchez,29,MIN,471,.291,86,.257,.172,3.4%,28.9%,8.5%,90.5,49.5%,18.4%,43.8%,29.9%,0.78,31.9%,52.4%,15.6%,-0.8,-0.6%,-3.5,22%,100%,27%,sanchga02
697,Jesús Sánchez,24,MIA,343,.298,87,.258,.188,3.8%,26.8%,7.6%,89.4,40.5%,19.4%,46.4%,26.6%,0.87,33.8%,45.9%,20.3%,-1.2,-0.7%,-8.4,30%,100%,36%,sanchje02
698,Yolmer Sanchez,30,TOT,44,.139,-22,.167,.000,0.0%,29.6%,11.4%,79.9,16.0%,23.1%,42.3%,23.1%,0.85,23.1%,50.0%,26.9%,-0.5,-0.2%,-5.2,10%,0%,0%,sanchca01
699,Yolmer Sanchez,30,BOS,44,.139,-22,.167,.000,0.0%,29.6%,11.4%,79.9,16.0%,23.1%,42.3%,23.1%,0.85,23.1%,50.0%,26.9%,-0.5,-0.2%,-5.2,11%,0%,0%,sanchca01
700,Donny Sands,26,PHI,4,.173,-3,.000,.000,0.0%,25.0%,25.0%,90.9,50.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,-0.2,-0.1%,-1.2,0%,,,sandsdo01
701,Reiver Sanmartin,26,CIN,2,.000,-137,.000,.000,0.0%,50.0%,0.0%,74.5,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.4,,,,sanmare01
702,Miguel Sanó,29,MIN,71,.181,4,.114,.050,1.4%,35.2%,12.7%,93.9,52.8%,27.8%,16.7%,44.4%,0.20,30.6%,58.3%,11.1%,-0.2,0.0%,-7.3,0%,100%,0%,sanomi01
703,Carlos Santana,36,TOT,506,.308,99,.209,.174,3.8%,17.4%,14.0%,90.6,44.9%,22.6%,38.8%,28.4%,0.64,38.6%,45.8%,15.7%,1.1,0.2%,8.8,23%,,44%,santaca01
704,Carlos Santana,36,KCR,212,.317,100,.236,.125,1.9%,13.2%,17.0%,90.2,41.9%,23.6%,40.5%,27.0%,0.68,39.2%,43.2%,17.6%,0.4,-0.1%,4.6,19%,,44%,santaca01
705,Carlos Santana,36,SEA,294,.302,98,.187,.208,5.1%,20.4%,11.9%,90.9,47.2%,21.8%,37.6%,29.4%,0.61,38.1%,47.7%,14.2%,0.7,0.3%,4.2,28%,,43%,santaca01
706,Anthony Santander,27,BAL,647,.338,118,.248,.214,5.1%,18.9%,8.5%,90.0,43.3%,23.4%,31.9%,28.7%,0.47,36.1%,49.7%,14.2%,-0.3,0.1%,9.0,26%,0%,48%,santaan02
707,Jonathan Schoop,30,DET,510,.249,56,.234,.121,2.2%,21.0%,3.7%,87.0,39.0%,24.3%,45.2%,20.6%,0.83,29.4%,54.8%,15.9%,-2.9,-0.6%,-32.1,33%,100%,41%,schoojo01
708,Max Schrock,27,CIN,27,.159,-23,.200,.000,0.0%,22.2%,3.7%,82.8,25.0%,25.0%,40.0%,15.0%,0.67,15.0%,50.0%,35.0%,-0.4,0.0%,-4.4,20%,,0%,schroma01
709,Kyle Schwarber,29,PHI,669,.360,129,.240,.286,6.9%,29.9%,12.9%,92.9,54.5%,20.6%,33.5%,33.8%,0.51,37.2%,48.8%,14.0%,2.2,1.1%,22.5,32%,91%,23%,schwaky01
710,Frank Schwindel,30,CHC,292,.280,73,.261,.129,2.7%,19.9%,6.5%,88.1,35.7%,23.3%,47.4%,21.9%,0.90,33.5%,49.3%,17.2%,-2.0,-0.5%,-11.7,21%,,22%,schwifr01
711,Corey Seager,28,TEX,663,.334,115,.242,.211,5.0%,15.5%,8.8%,91.1,45.6%,25.9%,40.2%,30.3%,0.67,33.7%,51.3%,14.9%,0.7,0.2%,14.8,33%,100%,40%,seageco01
712,Jean Segura,32,PHI,387,.329,109,.307,.110,2.6%,15.0%,6.5%,87.6,38.8%,20.9%,56.2%,15.8%,1.28,19.5%,55.2%,25.3%,-0.5,-0.4%,-8.1,29%,68%,44%,segurje01
713,Marcus Semien,31,TEX,724,.334,113,.263,.181,3.6%,16.6%,7.3%,87.3,34.9%,21.8%,33.6%,34.0%,0.51,32.7%,51.0%,16.3%,0.4,0.1%,15.3,39%,76%,62%,semiema01
714,Nick Senzel,27,CIN,420,.283,66,.276,.075,1.2%,18.1%,7.1%,86.7,33.9%,23.7%,45.3%,24.3%,0.84,26.0%,54.0%,20.0%,-2.1,-0.3%,-15.8,34%,62%,35%,senzeni01
715,Brian Serven,27,COL,205,.273,56,.232,.128,2.9%,21.5%,6.3%,83.8,29.7%,26.0%,43.8%,18.5%,0.81,31.5%,53.4%,15.1%,-1.0,0.0%,-12.8,27%,,33%,servebr01
716,Pedro Severino,28,MIL,21,.304,93,.364,.111,0.0%,33.3%,14.3%,86.7,18.2%,27.3%,36.4%,27.3%,0.57,45.5%,27.3%,27.3%,0.1,0.1%,-0.8,0%,,,severpe01
717,Travis Shaw,32,BOS,19,.000,-134,.000,.000,0.0%,36.8%,0.0%,75.8,8.3%,33.3%,16.7%,25.0%,0.22,8.3%,75.0%,16.7%,-0.5,-0.3%,-4.6,,,,shawtr01
718,Gavin Sheets,26,CHW,410,.315,99,.272,.170,3.7%,21.0%,6.6%,88.4,36.3%,23.5%,40.8%,24.8%,0.69,32.7%,50.0%,17.3%,0.2,0.0%,2.3,18%,,30%,sheetga01
719,Zack Short,27,DET,13,.125,-46,.000,.000,0.0%,38.5%,15.4%,91.8,50.0%,16.7%,0.0%,66.7%,0.00,16.7%,66.7%,16.7%,-0.1,0.0%,-0.4,67%,100%,100%,shortza01
720,Michael Siani,22,CIN,24,.129,-29,.235,.000,0.0%,29.2%,0.0%,78.2,23.5%,29.4%,17.6%,5.9%,0.23,41.2%,23.5%,35.3%,-0.5,0.0%,-6.6,17%,0%,100%,sianimi01
721,Magneuris Sierra,26,LAA,96,.201,9,.227,.077,0.0%,26.0%,4.2%,77.8,16.4%,22.4%,44.8%,11.9%,1.03,40.3%,40.3%,19.4%,0.0,0.0%,-8.6,28%,86%,67%,sierrma01
722,Andrelton Simmons,32,CHC,85,.215,15,.210,.013,0.0%,15.3%,8.2%,79.2,11.1%,12.3%,61.5%,10.8%,1.82,29.2%,60.0%,10.8%,-1.1,-0.3%,-9.3,36%,100%,50%,simmoan01
723,Jose Siri,26,TOT,325,.274,69,.305,.126,2.2%,33.2%,6.2%,86.1,33.0%,19.6%,42.3%,25.8%,0.76,29.9%,48.5%,21.6%,-1.2,-0.6%,-13.8,54%,88%,54%,sirijo01
724,Jose Siri,26,HOU,147,.247,47,.247,.126,2.0%,32.7%,6.1%,88.3,39.8%,14.8%,44.3%,30.7%,0.81,28.4%,50.0%,21.6%,-0.5,-0.3%,-8.5,43%,86%,60%,sirijo01
725,Jose Siri,26,TBR,178,.296,87,.353,.127,2.3%,33.7%,6.2%,84.2,27.4%,23.6%,40.6%,21.7%,0.72,31.1%,47.2%,21.7%,-0.7,-0.3%,-5.3,61%,89%,50%,sirijo01
726,Austin Slater,29,SFG,325,.356,123,.361,.144,2.2%,27.4%,12.3%,87.6,39.5%,25.3%,51.1%,19.5%,1.10,20.5%,58.9%,20.5%,0.8,0.6%,9.1,35%,92%,53%,slateau01
727,Dominic Smith,27,NYM,152,.261,64,.263,.090,0.0%,24.3%,7.9%,89.6,46.5%,20.2%,47.5%,28.3%,0.90,28.3%,58.6%,13.1%,0.5,0.4%,-3.9,26%,,55%,smithdo02
728,Josh Smith,24,TEX,253,.259,62,.244,.052,0.8%,19.8%,11.1%,85.3,28.6%,25.6%,33.3%,26.2%,0.52,29.2%,50.6%,20.2%,-1.7,-0.2%,-5.6,28%,57%,46%,smithjo11
729,Kevin Smith,25,OAK,151,.246,50,.237,.122,1.3%,27.8%,4.6%,85.1,33.3%,16.7%,39.2%,32.4%,0.69,12.9%,65.3%,21.8%,-0.7,-0.1%,-7.3,23%,100%,50%,smithke05
730,Pavin Smith,26,ARI,277,.298,87,.262,.147,3.3%,24.2%,10.1%,87.9,35.9%,17.7%,43.6%,29.8%,0.77,32.6%,51.9%,15.5%,0.6,0.2%,1.2,20%,100%,44%,smithpa04
731,Will Smith,27,LAD,578,.355,121,.276,.205,4.2%,16.6%,9.7%,89.9,43.0%,25.5%,31.5%,37.3%,0.46,23.6%,57.7%,18.8%,0.9,0.4%,20.9,25%,100%,19%,smithwi05
732,Canaan Smith-Njigba,23,PIT,7,.382,146,.200,.200,0.0%,0.0%,14.3%,93.3,80.0%,20.0%,60.0%,20.0%,1.50,40.0%,40.0%,20.0%,0.0,0.0%,-0.1,33%,,100%,smithca05
733,Nick Solak,27,TEX,95,.324,110,.233,.122,3.2%,20.0%,7.4%,85.0,34.4%,17.2%,54.7%,21.9%,1.30,26.6%,53.1%,20.3%,-0.6,-0.2%,-3.4,42%,60%,56%,solakni01
734,Donovan Solano,34,CIN,304,.324,96,.349,.101,1.3%,20.1%,6.3%,88.3,41.2%,27.4%,45.2%,23.3%,0.83,23.7%,55.7%,20.5%,-0.8,0.0%,-4.4,18%,,23%,solando01
735,Jorge Soler,30,MIA,306,.309,97,.256,.193,4.3%,29.4%,10.1%,91.2,43.9%,21.0%,43.1%,27.6%,0.76,37.0%,49.7%,13.3%,-1.9,-0.8%,-4.3,25%,0%,48%,solerjo01
736,Edmundo Sosa,26,TOT,190,.297,86,.304,.142,1.1%,26.3%,2.6%,86.3,29.7%,26.6%,46.1%,20.3%,0.87,26.6%,60.2%,13.3%,-0.1,-0.2%,-1.7,41%,86%,56%,sosaed01
737,Edmundo Sosa,26,STL,131,.251,56,.274,.082,0.0%,29.0%,3.1%,87.4,27.4%,23.8%,48.8%,20.2%,0.95,26.2%,60.7%,13.1%,-0.7,-0.5%,-7.9,45%,75%,53%,sosaed01
738,Edmundo Sosa,26,PHI,59,.401,152,.366,.278,3.4%,20.3%,1.7%,84.3,34.1%,31.8%,40.9%,20.5%,0.72,27.3%,59.1%,13.6%,0.6,0.4%,6.2,35%,100%,67%,sosaed01
739,Lenyn Sosa,22,CHW,36,.184,3,.136,.114,2.8%,33.3%,2.8%,86.6,26.1%,8.7%,56.5%,30.4%,1.30,21.7%,60.9%,17.4%,-0.7,-0.4%,-7.9,50%,,100%,sosale01
740,Juan Soto,23,TOT,664,.382,154,.249,.210,4.1%,14.5%,20.3%,90.9,47.4%,19.2%,47.2%,27.1%,0.90,31.1%,51.9%,17.1%,1.4,0.2%,28.3,28%,75%,44%,sotoju01
741,Juan Soto,23,WSN,436,.396,163,.243,.240,4.8%,14.2%,20.9%,90.2,46.1%,19.3%,46.8%,27.5%,0.89,29.6%,52.1%,18.2%,1.2,0.0%,20.0,26%,75%,49%,sotoju01
742,Juan Soto,23,SDP,228,.355,136,.261,.154,2.6%,14.9%,19.3%,92.1,50.0%,18.9%,48.0%,26.4%,0.92,33.8%,51.4%,14.9%,0.3,0.2%,8.3,31%,,36%,sotoju01
743,Livan Soto,22,LAA,59,.418,179,.500,.182,1.7%,22.0%,3.4%,81.7,16.3%,29.5%,29.5%,29.5%,0.45,38.6%,45.5%,15.9%,0.6,0.0%,4.6,33%,50%,67%,sotoli01
744,Steven Souza Jr.,33,SEA,19,.142,-19,.273,.000,0.0%,42.1%,0.0%,83.3,18.2%,18.2%,36.4%,18.2%,0.57,36.4%,45.5%,18.2%,-0.6,-0.3%,-5.0,0%,,,souzast01
745,George Springer,32,TOR,583,.361,132,.285,.205,4.3%,17.2%,9.3%,88.7,42.4%,21.8%,44.3%,24.4%,0.79,34.7%,49.0%,16.3%,2.2,1.5%,22.8,37%,88%,53%,springe01
746,Jacob Stallings,32,MIA,384,.268,67,.280,.069,1.0%,21.6%,7.6%,86.3,32.3%,21.4%,42.1%,27.4%,0.74,22.6%,54.5%,22.9%,-2.8,-0.8%,-20.2,19%,0%,11%,stallja01
747,Giancarlo Stanton,32,NYY,452,.331,112,.227,.251,6.9%,30.3%,11.1%,95.0,52.5%,20.8%,47.0%,24.6%,0.89,21.6%,55.7%,22.7%,1.1,0.6%,8.2,21%,,17%,stantmi03
748,Max Stassi,31,LAA,375,.259,59,.239,.123,2.4%,29.9%,10.1%,88.4,39.6%,14.8%,51.6%,25.6%,1.07,22.5%,59.5%,18.0%,-3.0,-0.3%,-20.3,25%,,29%,stassma01
749,Spencer Steer,24,CIN,108,.280,68,.269,.116,1.9%,24.1%,10.2%,84.8,31.9%,21.7%,43.5%,24.6%,0.77,26.1%,59.4%,14.5%,0.2,0.0%,-3.8,32%,0%,33%,steersp01
750,Michael Stefanic,26,LAA,69,.235,41,.245,.033,0.0%,17.4%,7.3%,83.5,22.0%,20.0%,54.0%,20.0%,1.23,16.0%,60.0%,24.0%,-0.6,-0.1%,-7.5,25%,,33%,stefami01
751,Tyler Stephenson,25,CIN,183,.377,133,.409,.163,3.3%,25.7%,6.6%,87.1,34.7%,36.4%,40.5%,18.2%,0.68,38.8%,46.3%,14.9%,0.5,-0.1%,10.2,29%,100%,44%,stephty01
752,Cal Stevenson,25,OAK,71,.218,36,.263,.050,0.0%,32.4%,11.3%,84.8,32.5%,27.5%,42.5%,17.5%,0.81,30.0%,60.0%,10.0%,-0.7,0.0%,-8.5,28%,50%,56%,steveca01
753,DJ Stewart,28,BAL,3,.000,-129,.000,.000,0.0%,66.7%,0.0%,79.3,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,0.0%,100.0%,-0.1,0.0%,-0.7,,,,stewadj01
754,Trevor Story,29,BOS,396,.334,102,.309,.196,4.0%,30.8%,8.1%,88.9,40.6%,24.3%,35.1%,28.9%,0.54,25.9%,52.3%,21.8%,-0.4,-0.3%,7.5,35%,100%,46%,storytr01
755,Bryson Stott,24,PHI,466,.294,82,.274,.124,2.2%,19.1%,7.7%,87.5,36.9%,21.2%,45.6%,23.5%,0.86,28.8%,48.8%,22.4%,-0.1,-0.3%,-11.2,38%,75%,56%,stottbr01
756,Kyle Stowers,24,BAL,98,.317,101,.339,.165,3.1%,29.6%,5.1%,91.1,50.0%,32.3%,35.5%,25.8%,0.55,32.3%,50.0%,17.7%,-0.1,-0.1%,-2.1,28%,,27%,stoweky01
757,Dee Strange-Gordon,34,WSN,59,.278,82,.353,.051,0.0%,13.6%,0.0%,82.6,17.6%,21.6%,58.8%,13.7%,1.58,35.3%,52.9%,11.8%,-0.3,-0.1%,-3.8,30%,60%,33%,gordode01
758,Myles Straw,27,CLE,596,.269,65,.261,.052,0.0%,14.6%,9.1%,86.7,26.5%,26.2%,46.9%,22.5%,0.89,15.0%,57.7%,27.3%,-3.7,-2.3%,-27.8,41%,95%,52%,strawmy01
759,Garrett Stubbs,29,PHI,121,.360,128,.324,.198,4.1%,24.8%,11.6%,80.3,27.3%,22.1%,36.4%,20.8%,0.68,42.9%,46.8%,10.4%,0.7,0.3%,7.4,34%,100%,70%,stubbga01
760,Eugenio Suárez,30,SEA,629,.346,130,.302,.223,4.9%,31.2%,11.6%,89.8,43.6%,20.7%,34.1%,39.2%,0.52,31.3%,49.4%,19.3%,2.5,1.1%,17.7,25%,,26%,suareeu01
761,Jack Suwinski,23,PIT,372,.315,99,.242,.209,5.1%,30.7%,11.0%,88.3,40.6%,16.0%,43.2%,31.9%,0.76,39.0%,46.9%,14.1%,0.8,0.0%,-3.5,27%,67%,40%,suwinja01
762,Kurt Suzuki,38,LAA,159,.260,59,.194,.115,2.5%,18.2%,9.4%,84.8,26.5%,21.2%,29.2%,30.1%,0.42,33.6%,54.0%,12.4%,-0.3,0.0%,-5.0,16%,,20%,suzukku01
763,Seiya Suzuki,27,CHC,446,.350,124,.326,.171,3.1%,24.7%,9.4%,89.6,41.6%,27.2%,40.7%,25.5%,0.69,16.6%,54.8%,28.6%,0.8,0.3%,4.2,29%,64%,54%,suzukse01
764,Travis Swaggerty,24,PIT,9,.089,-64,.200,.000,0.0%,44.4%,0.0%,92.1,60.0%,0.0%,60.0%,40.0%,1.50,20.0%,80.0%,0.0%,-0.2,-0.1%,-1.7,0%,,,swaggtr01
765,Dansby Swanson,28,ATL,696,.342,115,.348,.170,3.6%,26.2%,7.0%,90.2,46.4%,26.8%,38.3%,29.4%,0.62,26.4%,53.2%,20.3%,1.7,1.3%,22.6,36%,72%,63%,swansda01
766,Raimel Tapia,28,TOR,433,.297,87,.315,.114,1.6%,18.7%,3.7%,87.2,38.1%,24.3%,53.3%,18.0%,1.16,29.0%,50.6%,20.4%,-0.2,-0.1%,-0.7,33%,80%,61%,tapiara01
767,Leody Taveras,23,TEX,341,.300,91,.344,.105,1.5%,25.8%,6.2%,87.3,36.4%,24.3%,41.3%,22.6%,0.75,30.0%,48.3%,21.7%,-0.4,0.1%,-2.7,32%,69%,47%,taverle01
768,Chris Taylor,31,LAD,454,.310,86,.336,.152,2.2%,35.2%,9.7%,86.6,38.1%,28.6%,31.0%,32.7%,0.46,31.4%,49.0%,19.6%,-0.9,0.1%,-14.6,27%,91%,47%,tayloch03
769,Michael A. Taylor,31,KCR,456,.301,89,.321,.104,2.0%,23.9%,7.7%,84.8,33.0%,21.0%,40.0%,28.1%,0.70,27.4%,53.5%,19.0%,-1.5,-0.2%,-7.8,30%,67%,46%,taylomi02
770,Tyrone Taylor,28,MIL,405,.315,101,.272,.209,4.2%,25.2%,5.4%,87.8,37.7%,21.5%,38.0%,33.2%,0.62,27.7%,55.8%,16.4%,-0.9,-0.5%,-7.4,32%,60%,58%,tayloty01
771,Rowdy Tellez,27,MIL,599,.332,113,.215,.242,5.8%,20.2%,10.4%,91.1,46.2%,20.4%,39.7%,29.9%,0.66,33.1%,53.0%,13.9%,0.6,0.1%,7.8,22%,67%,18%,tellero01
772,Matt Thaiss,27,LAA,81,.290,79,.295,.101,2.5%,29.6%,13.6%,88.5,37.0%,13.0%,56.5%,19.6%,1.30,32.6%,43.5%,23.9%,0.1,0.0%,-2.6,29%,100%,43%,thaisma01
773,Alek Thomas,22,ARI,411,.276,73,.263,.113,2.0%,18.0%,5.4%,87.4,35.1%,21.8%,57.7%,15.7%,1.36,29.5%,51.9%,18.6%,-1.2,0.0%,-10.0,35%,57%,61%,thomaal01
774,Cody Thomas,27,OAK,32,.268,71,.444,.000,0.0%,37.5%,6.3%,89.5,38.9%,33.3%,44.4%,22.2%,0.80,33.3%,44.4%,22.2%,-0.1,0.0%,-1.4,10%,,0%,thomaco01
775,Dillon Thomas,29,LAA,14,.214,26,.200,.000,0.0%,42.9%,14.3%,82.9,40.0%,0.0%,80.0%,20.0%,4.00,60.0%,20.0%,20.0%,0.0,0.0%,-1.1,20%,,0%,thomadi01
776,Lane Thomas,26,WSN,548,.313,104,.291,.163,3.1%,24.1%,7.5%,86.4,34.9%,21.0%,45.3%,21.3%,0.83,31.5%,51.8%,16.7%,-0.7,-0.3%,-8.2,30%,67%,33%,thomala02
777,Bubba Thompson,24,TEX,181,.288,70,.389,.047,0.6%,30.9%,3.9%,77.4,21.6%,14.7%,46.6%,19.0%,1.17,31.0%,49.1%,19.8%,-0.4,0.0%,-6.7,30%,86%,50%,thompbu01
778,Trayce Thompson,31,TOT,255,.370,132,.374,.251,5.1%,36.5%,12.6%,92.2,46.9%,31.3%,31.3%,32.0%,0.45,43.8%,45.3%,10.9%,1.7,0.2%,9.7,29%,80%,50%,thomptr01
779,Trayce Thompson,31,SDP,16,.112,-16,.143,.000,0.0%,43.8%,12.5%,77.2,0.0%,28.6%,57.1%,0.0%,1.33,57.1%,42.9%,0.0%,-0.2,-0.1%,-1.8,33%,0%,0%,thomptr01
780,Trayce Thompson,31,LAD,239,.387,142,.389,.268,5.4%,36.0%,12.6%,93.1,49.6%,31.4%,29.8%,33.9%,0.42,43.0%,45.5%,11.6%,1.8,0.3%,11.5,29%,100%,52%,thomptr01
781,Michael Toglia,23,COL,120,.304,81,.338,.162,1.7%,36.7%,7.5%,87.4,40.3%,26.9%,38.8%,26.9%,0.63,40.3%,49.3%,10.4%,-0.3,0.0%,-1.3,26%,50%,40%,toglimi01
782,Ka'ai Tom,28,SFG,1,.000,-128,.000,.000,0.0%,0.0%,0.0%,96.8,100.0%,0.0%,0.0%,100.0%,0.00,0.0%,0.0%,100.0%,0.0,0.0%,-0.4,,,,tomka01
783,Spencer Torkelson,22,DET,404,.272,75,.255,.117,2.0%,24.5%,9.2%,90.5,42.0%,25.9%,40.7%,25.9%,0.69,28.5%,51.0%,20.5%,-1.8,-0.2%,-16.8,28%,0%,34%,torkesp01
784,Abraham Toro,25,SEA,352,.250,59,.198,.139,2.8%,18.5%,6.3%,87.0,29.7%,18.3%,38.8%,35.0%,0.63,33.8%,53.6%,12.5%,-0.9,-0.5%,-15.9,33%,100%,33%,toroab01
785,Luis Torrens,26,SEA,166,.268,73,.310,.073,1.8%,30.1%,7.2%,90.3,47.1%,30.1%,46.6%,17.5%,0.87,18.4%,61.2%,20.4%,-0.7,-0.5%,-4.9,23%,,42%,torrelu01
786,Gleyber Torres,25,NYY,572,.334,115,.295,.194,4.2%,22.6%,6.8%,90.1,45.1%,24.2%,35.4%,32.7%,0.55,23.2%,53.9%,22.9%,0.1,0.7%,2.0,32%,67%,44%,torregl01
787,Ezequiel Tovar,20,COL,35,.263,49,.261,.121,2.9%,25.7%,5.7%,88.6,33.3%,20.8%,50.0%,25.0%,1.00,29.2%,50.0%,20.8%,-0.4,0.0%,-3.7,13%,,0%,tovarez01
788,Taylor Trammell,24,SEA,117,.299,95,.242,.206,3.4%,28.2%,11.1%,86.8,28.2%,16.9%,36.6%,33.8%,0.60,33.8%,50.7%,15.5%,-0.8,-0.2%,-3.5,34%,67%,50%,trammta01
789,Alan Trejo,26,COL,125,.324,98,.337,.153,3.2%,24.8%,4.0%,86.2,31.4%,25.3%,39.1%,32.2%,0.64,31.0%,56.3%,12.6%,0.0,0.1%,-1.2,31%,33%,64%,trejoal01
790,Jose Trevino,29,NYY,353,.296,87,.274,.140,3.1%,17.6%,4.3%,87.7,35.6%,23.4%,40.5%,27.7%,0.69,24.5%,56.2%,19.3%,0.3,0.6%,4.9,31%,67%,28%,trevijo01
791,Chadwick Tromp,27,ATL,4,.852,482,.750,.500,0.0%,0.0%,0.0%,92.5,50.0%,75.0%,25.0%,0.0%,0.33,50.0%,50.0%,0.0%,0.3,0.1%,2.8,0%,,,trompch01
792,Mike Trout,30,LAA,499,.425,180,.323,.347,8.0%,27.9%,10.8%,91.5,50.8%,21.3%,25.0%,44.7%,0.33,30.7%,48.0%,21.3%,4.8,1.8%,42.1,31%,100%,48%,troutmi01
793,Yoshi Tsutsugo,30,PIT,193,.225,34,.221,.059,1.0%,25.9%,9.8%,88.8,36.3%,22.6%,47.6%,23.4%,0.91,26.6%,56.5%,16.9%,-1.8,-0.5%,-17.7,20%,,18%,tsutsyo01
794,Cole Tucker,25,PIT,63,.178,-3,.289,.048,0.0%,39.7%,0.0%,82.4,23.7%,23.7%,47.4%,23.7%,0.90,23.7%,50.0%,26.3%,-0.5,-0.3%,-8.6,25%,100%,50%,tuckeco01
795,Kyle Tucker,25,HOU,609,.356,126,.261,.221,4.9%,15.6%,9.7%,89.8,42.4%,22.0%,33.9%,37.7%,0.52,32.4%,52.1%,15.5%,3.1,1.2%,32.2,24%,86%,48%,tuckeky01
796,Justin Turner,37,LAD,532,.346,114,.313,.160,2.4%,16.7%,9.4%,89.5,40.7%,27.9%,32.8%,33.3%,0.49,23.5%,52.5%,24.0%,1.6,0.8%,20.0,28%,100%,27%,turneju01
797,Trea Turner,29,LAD,708,.356,117,.342,.169,3.0%,18.5%,6.4%,88.9,41.8%,24.7%,43.5%,26.2%,0.77,31.3%,50.7%,18.0%,3.0,1.6%,24.8,36%,90%,42%,turnetr01
798,Justin Upton,34,SEA,57,.248,58,.208,.083,1.8%,40.4%,10.5%,88.5,33.3%,20.0%,32.0%,32.0%,0.47,40.0%,48.0%,12.0%,0.1,0.1%,-4.4,7%,,0%,uptonju01
799,Luis Urías,25,MIL,472,.335,116,.274,.165,3.4%,21.0%,10.6%,87.3,35.5%,21.8%,36.5%,34.0%,0.58,31.1%,52.2%,16.7%,-1.4,-1.1%,-1.6,27%,33%,43%,uriaslu01
800,Ramón Urías,28,BAL,445,.321,104,.287,.166,3.6%,22.0%,6.7%,88.8,46.8%,20.5%,46.8%,24.4%,0.90,26.0%,56.1%,17.9%,0.5,0.1%,4.4,28%,100%,57%,uriasra01
801,Gio Urshela,30,MIN,551,.334,117,.326,.144,2.4%,17.4%,7.4%,88.9,38.0%,30.1%,41.7%,23.8%,0.72,23.8%,55.1%,21.1%,0.6,0.1%,3.3,28%,100%,34%,urshegi01
802,Josh VanMeter,27,PIT,192,.256,52,.232,.105,1.6%,23.4%,9.9%,87.6,33.6%,25.0%,38.3%,32.0%,0.63,28.9%,55.5%,15.6%,-0.6,-0.1%,-7.0,25%,100%,46%,vanmejo01
803,Ildemaro Vargas,30,TOT,222,.308,98,.279,.129,1.8%,10.4%,3.6%,85.8,29.3%,22.3%,46.8%,22.9%,0.93,33.2%,53.5%,13.4%,0.3,0.0%,0.0,24%,75%,42%,vargail01
804,Ildemaro Vargas,30,CHC,26,.289,80,.100,.217,3.9%,7.7%,11.5%,90.6,38.1%,14.3%,57.1%,23.8%,1.33,38.1%,57.1%,4.8%,-0.1,0.0%,-0.4,50%,,100%,vargail01
805,Ildemaro Vargas,30,WSN,196,.310,100,.301,.118,1.5%,10.7%,2.6%,85.2,28.1%,23.4%,45.5%,22.8%,0.88,32.5%,53.0%,14.5%,0.4,0.0%,0.4,21%,75%,39%,vargail01
806,Miguel Vargas,22,LAD,50,.221,22,.206,.085,2.0%,26.0%,4.0%,89.7,40.0%,11.4%,37.1%,40.0%,0.59,25.7%,54.3%,20.0%,0.2,0.0%,-2.7,30%,100%,33%,vargami01
807,Daulton Varsho,25,ARI,592,.328,109,.269,.207,4.6%,24.5%,7.8%,86.1,36.1%,19.3%,39.4%,29.8%,0.69,48.9%,40.5%,10.7%,0.2,0.1%,8.4,34%,73%,51%,varshda01
808,Andrew Vaughn,24,CHW,555,.333,112,.301,.159,3.1%,17.3%,5.6%,90.8,49.3%,25.1%,48.0%,22.2%,0.92,22.0%,55.4%,22.7%,1.6,0.9%,14.5,27%,,26%,vaughan01
809,Terrin Vavra,25,BAL,103,.298,91,.310,.079,1.0%,18.5%,11.7%,86.0,23.9%,31.9%,38.9%,23.6%,0.67,20.8%,61.1%,18.1%,0.7,0.1%,1.1,36%,0%,56%,vavrate01
